variable_name,variable_label,value_label_set,value_labels
q28a_2,"In the last seven days, which modes of transport did you use for travel to and from your usual place of work? - Driving a car or van alone",labels47,1.0 = Driving a car or van alone
q28a_3,"In the last seven days, which modes of transport did you use for travel to and from your usual place of work? - Sharing a car or van as a driver or passenger",labels48,1.0 = Sharing a car or van as a driver or passenger
q28a_4,"In the last seven days, which modes of transport did you use for travel to and from your usual place of work? - Walking",labels49,1.0 = Walking
q28a_5,"In the last seven days, which modes of transport did you use for travel to and from your usual place of work? - Bicycle",labels50,1.0 = Bicycle
q28a_6,"In the last seven days, which modes of transport did you use for travel to and from your usual place of work? - Bus",labels51,1.0 = Bus
q28a_7,"In the last seven days, which modes of transport did you use for travel to and from your usual place of work? - Train",labels52,1.0 = Train
q28a_8,"In the last seven days, which modes of transport did you use for travel to and from your usual place of work? - Motorbike, moped or scooter",labels53,"1.0 = Motorbike, moped or scooter"
q28a_9,"In the last seven days, which modes of transport did you use for travel to and from your usual place of work? - Taxi",labels54,1.0 = Taxi
q28a_10,"In the last seven days, which modes of transport did you use for travel to and from your usual place of work? - Other (please tick and write in below)",labels55,1.0 = Other (please tick and write in below)
q28a_oth,Q28a - Other,,
q28b,"Please tick the single mode of travel that you would say was the main mode of transport you used to and from your usual place of work in the last seven days, for the longest part of your journey.",labels56,"1.0 = Driving a car or van alone; 2.0 = Sharing a car or van as a driver or passenger; 3.0 = Walking; 4.0 = Bicycle; 5.0 = Bus; 6.0 = Train; 7.0 = Motorbike, moped or scooter; 8.0 = Taxi; 9.0 = {Q28a_OTH}"
q29,What is the postcode of your usual place of work?,,
q30_1,What would encourage you to introduce or increase cycling or walking as part of your travel to and from work?   - I already do this as much as is possible,labels57,1.0 = I already do this as much as is possible
q30_2,What would encourage you to introduce or increase cycling or walking as part of your travel to and from work?   - Doesn’t apply ‐ I work from home,labels58,1.0 = Doesn’t apply ‐ I work from home
q30_3,What would encourage you to introduce or increase cycling or walking as part of your travel to and from work?   - Nothing ‐ I don’t work,labels59,1.0 = Nothing ‐ I don’t work
q30_4,What would encourage you to introduce or increase cycling or walking as part of your travel to and from work?   - Other (please tick and write in below),labels55,1.0 = Other (please tick and write in below)
q30_oth,What would encourage you to introduce or increase cycling or walking as part of your travel to and from work?   - Other,,
q31_1,"Thinking about the people in this household aged 16-19 (IF ANY), do any of the following statements apply to them?   - Living with their parents",labels60,1.0 = Living with their parents
q31_2,"Thinking about the people in this household aged 16-19 (IF ANY), do any of the following statements apply to them?   - In full-time education (but not studying at University for a degree), OR in unwaged government training/ work experience",labels61,"1.0 = In full-time education (but not studying at University for a degree), OR in unwaged government training/ work experience"
q31_3,"Thinking about the people in this household aged 16-19 (IF ANY), do any of the following statements apply to them?   - Not married, not in a Civil Partnership, and not living with a partner",labels62,"1.0 = Not married, not in a Civil Partnership, and not living with a partner"
q31_4,"Thinking about the people in this household aged 16-19 (IF ANY), do any of the following statements apply to them?   - None of the above",labels63,1.0 = None of the above
q31_5,"Thinking about the people in this household aged 16-19 (IF ANY), do any of the following statements apply to them?   - Prefer not to say",labels24,1.0 = Prefer not to say
q32_1,Do you receive any of these benefits? - Income Support,labels64,1.0 = Income Support
q32_2,Do you receive any of these benefits? - Income-Based Jobseekers Allowance,labels65,1.0 = Income-Based Jobseekers Allowance
q32_3,Do you receive any of these benefits? - Employment and Support Allowance,labels66,1.0 = Employment and Support Allowance
q32_4,Do you receive any of these benefits? - Pension Credit,labels67,1.0 = Pension Credit
q32_5,Do you receive any of these benefits? - Child Tax Credit,labels68,1.0 = Child Tax Credit
q32_6,Do you receive any of these benefits? - Universal Credit,labels69,1.0 = Universal Credit
q32_7,Do you receive any of these benefits? - Tax Credits other than Child Tax Credit,labels70,1.0 = Tax Credits other than Child Tax Credit
q32_8,Do you receive any of these benefits? - None of the above,labels63,1.0 = None of the above
q32_9,Do you receive any of these benefits? - Prefer not to say,labels24,1.0 = Prefer not to say
q33,"What is your total household income, including any income or benefits from any source, before tax and before any housing costs?     Per week:",,
q33a,"What is your total household income, including any income or benefits from any source, before tax and before any housing costs?     Per month:",,
